Repo Name,Source Code,CI Present?,What is the CI server?,Where are CI/CD files?,Build/Packaging Tool,Where Packaging/Build tools defined?,What are the testing tools?,Where Testing Tools defined?,Is testing step integrated in CI?,CD Present?,What is the deployment tool?,Where is the deployment tool defined?,Code management tools automated?,Code Management Tools,Configuration and Provisioning tools,Is Versioning automated?,Versioning Strategy
h11,https://github.com/python-hyper/h11,Yes,Github Actions,h11/.github/workflows,setuptools,h11/setup.py,pytest/coverage,h11/tox.ini,Yes,No,-,-,Yes,"h11/format-requirements.txt - black/isort
h11/pyproject.toml - mypy",tox,No,"Release Tags, Semantic Versioning"
fastapi,https://github.com/fastapi/fastapi,Yes,Github Actions,fastapi/.github/workflows,pdm-backend,h11/pyproject.toml,pytest/coverage,fastapi/pyproject.toml,Yes,Yes,astral_uv,fastapi/.github/workflows/publish.yml,Yes,fastapi/pyproject.toml - mypy/ruff,pdm,No,"Github Releases, Semantic Versioning"
wheel,https://github.com/pypa/wheel,Yes,GitHub Actions,wheel/.github/workflows,setuptools,wheel/pyproject.toml,pytest/coverage/tox,wheel/pyproject.toml,Yes,Yes,pypa/gh-action-pypi-publish@release/v1,wheel/.github/workflows/publish.yml,Yes,wheel/pyproject.toml - ruff/flake8,tox,No,"Github Releases, Semantic Versioning"
packaging,https://github.com/pypa/packaging,Yes,GitHub Actions,packaging/.github/workflows,flit,packaging/pyproject.toml,pytest/coverage/nox,packaging/pyproject.toml | packaging/noxfile.py,Yes,Yes,pypa/gh-action-pypi-publish@release/v1,packaging/.github/workflows/publish.yml,Yes,packaging/pyproject.toml - mypy/ruff,nox,No,"Github Releases, Semantic Versioning"
idna,https://github.com/kjd/idna,Yes,GitHub Actions,idna/.github/workflows,flit,idna/pyproject.toml,unittest,idna/tests,Yes,Yes,pypa/gh-action-pypi-publish@release/v1,idna/.github/workflows/deploy.yml,Yes,idna/pyproject.toml - ruff,pip/venv,No,"Github Releases, Semantic Versioning"
s3fs,https://github.com/fsspec/s3fs,Yes,GitHub Actions,s3fs/.github/workflows                                                                                       s3fs/ci/,setuptools,s3fs/setup.py,pytest,s3fs/pytest.ini,Yes,No,-,-,Yes,s3fs/.pre-commit-config.yaml - flake8,pip/venv,No,"Release Tags, Calendar Versioning (CalVer)"
pyparsing,https://github.com/pyparsing/pyparsing,Yes,GitHub Actions,pyparsing/.github/workflows/,flit,pyparsing/pyproject.toml,tox/pytest,pyparsing/tox.ini,Yes,No,-,-,Yes,pyparsing/.pre-commit-config.yaml - black,tox,No,"Github Releases, Semantic Versioning"
colorama,https://github.com/tartley/colorama,Yes,GitHub Actions,colorama/.github/workflows,hatchling,colorama/pyproject.toml,tox/unittest,colorama/tox.ini,Yes,No,-,-,Yes,.github/workflows/lint_python.yml - flake8,"tox, hatch",No,"Release Tags, Semantic Versioning"
pyjwt,https://github.com/jpadilla/pyjwt,Yes,GitHub Actions,pyjwt/.github/workflows,setuptools,pyjwt/pyproject.toml,pytest/coverage/tox,pyjwt/pyproject.toml | pyjwt/tox.ini,Yes,Yes,pypa,pyjwt/.github/workflows/pypi-package.yml,Yes,pyjwt/.pre-commit-config.yaml - ruff,tox,No,"Github Releases, Semantic Versioning"
cffi,https://github.com/python-cffi/cffi,Yes,GitHub Actions,cffi/.github/workflows,setuptools,cffi/pyproject.toml,pytest,cffi/testing,Yes,No,-,-,-,-,pip/venv,No,"Github Releases, Semantic Versioning"
six,https://github.com/benjaminp/six,Yes,GitHub Actions,six/.github/workflows,setuptools,six/setup.py,unittest/pytest/tox,six/test_six.py | six/tox.ini,Yes,Yes,twine,six/.github/workflows/publish.yml,Yes,six/tox.ini - flake8,tox,No,"Release Tags, Semantic Versioning"
frozenlist,https://github.com/aio-libs/frozenlist,Yes,GitHub Actions,frozenlist/.github/workflows,setuptools,frozenlist/pyproject.toml,tox/pytest/coverage,frozenlist/tox.ini,Yes,Yes,pypa/gh-action-pypi-publish@release/v1,frozenlist/.github/workflows/ci-cd.yml,Yes,"frozenlist/.pre-commit-config.yaml - isort, black, flake8, mypy",tox,No,"Github Releases, Semantic Versioning"
attrs,https://github.com/python-attrs/attrs,Yes,GitHub Actions,attrs/.github/workflows,hatchling,attrs/pyproject.toml,pytest/coverage/tox,attrs/pyproject.toml | attrs/tox.ini,Yes,Yes,pypa/gh-action-pypi-publish@release/v1,attrs/.github/workflows/pypi-package.yml,Yes,attrs/pyproject.toml - ruff/pyright/mypy,"tox, hatch",Yes,"Github Releases, Semantic Versioning"
multidict,https://github.com/aio-libs/multidict,Yes,GitHub Actions,multidict/.github/workflows,setuptools,multidict/pyproject.toml,pytest,multidict/pytest.ini,Yes,Yes,pypa/gh-action-pypi-publish@release/v1,multidict/.github/workflows/ci-cd.yml,Yes,"multidict/.pre-commit-config.yaml - ruff, mypy",pip/venv,No,"Github Releases, Semantic Versioning"
httpx,https://github.com/encode/httpx,Yes,GitHub Actions,httpx/.github/workflows,hatchling,httpx/pyproject.toml,pytest/coverage,httpx/pyproject.toml,No/Check,Yes,twine,httpx/.github/workflows/publish.yml,Yes,httpx/scripts - ruff,hatch,No,"Github Releases, Semantic Versioning"
scipy,https://github.com/scipy/scipy,Yes,GitHub Actions,scipy/.github/workflows,meson,scipy/pyproject.toml,pytest,scipy/pyproject.toml,Yes,No,-,-,Yes,scipy/environment.yml - mypy/ruff/typing_extensions/types-psutil,pip/venv,No,"Github Releases, Semantic Versioning"
s3transfer,https://github.com/boto/s3transfer,Yes,GitHub Actions,s3transfer/.github/workflows,setuptools,s3transfer/setup.py,tox/unittest,s3transfer/tox.ini | s3transfer/tests,No/Check,No,-,-,Yes,s3transfer/.pre-commit-config.yaml - ruff,tox,No,"Release Tags, Semantic Versioning"
iniconfig,https://github.com/pytest-dev/iniconfig,Yes,GitHub Actions,iniconfig/.github/workflows,setuptools,iniconfig/pyproject.toml,pytest,iniconfig/pyproject.toml,Yes,Yes,pypa/gh-action-pypi-publish@release/v1,iniconfig/.github/workflows/test.yml,Yes,"iniconfig/pyproject.toml - ruff, mypy",pip/venv,Yes,"Github Releases, Semantic Versioning"
pytz,https://github.com/stub42/pytz,Yes,GitHub Actions,pytz/.github/workflows,setuptools,pytz/pyproject.toml,unittest/doctest,pytz/Makefile,No/Check,Yes,pypa/gh-action-pypi-publish@release/v1,pytz/.github/workflows/publish.yml,Yes,pytz/Makefile - flake8,pip/venv,No,"Github Releases, Calendar Versioning (CalVer)"
psutil,https://github.com/giampaolo/psutil,Yes,GitHub Actions,psutil/.github/workflows,setuptools,psutil/pyproject.toml,pytest/coverage,psutil/pyproject.toml,Yes,No,-,-,Yes,"psutil/pyproject.toml - ruff, black, lint-c, pylint, vulture",pip/venv,No,"Release Tags, Semantic Versioning"
setuptools,https://github.com/pypa/setuptools,Yes,Github Actions,setuptools/.github/workflows,setuptools,setuptools/pyproject.toml,pytest/coverage,setuptools/tox.ini,Yes,Yes,tox/twine,setuptools/.github/workflows/main.yml | setuptools/tox.ini,Yes,"setuptools/ruff.toml - ruff, isort, flake8",tox,Yes,"Github Releases, Semantic Versioning"
awscli,https://github.com/aws/aws-cli,Yes,Github Actions,aws-cli/.github/workflows,setuptools,aws-cli/setup.py,pytest/coverage,aws-cli/pyproject.toml | aws-cli/scripts/ci/run-tests,No/Check,No,-,-,Yes,"aws-cli/pyproject.toml - isort, ruff",tox,No,"Github Releases, Semantic Versioning"
aiohttp,https://github.com/aio-libs/aiohttp,Yes,GitHub Actions,aiohttp/.github/workflows,setuptools,aiohttp/pyproject.toml,pytest/unittest/coverage,aiohttp/tests,Yes,Yes,pypa/gh-action-pypi-publish@release/v1,aiohttp/.github/workflows/ci-cd.yml,Yes,aiohttp/.pre-commit-config.yaml,pip/venv,No,"Github Releases, Semantic Versioning"
jmespath,https://github.com/jmespath/jmespath.py,Yes,GitHub Actions,jmespath/.github/workflows,setuptools,jmespath/setup.py,pytest/tox,jmespath/tests | jmespath/tox.ini,Yes,No,-,-,-,-,tox,No,"Release Tags, Semantic Versioning"
pygments,https://github.com/pygments/pygments,Yes,GitHub Actions,pygments/.github/workflows,hatchling,pygments/pyproject.toml,tox/pytest/coverage,pygments/tox.ini,Yes,No,-,-,Yes,pygments/pyproject.toml - ruff,"tox, hatch",No,"Github Releases, Semantic Versioning"
jsonschema-specifications,https://github.com/python-jsonschema/jsonschema-specifications,Yes,Github Actions,jsonschema-specifications/.github/workflows,hatchling,jsonschema-specifications/pyproject.toml,coverage/nox/pytest,jsonschema-specifications/pyproject.toml | jsonschema-specifications/noxfile.py | jsonschema_specifications/tests/test_jsonschema_specifications.py,Yes,Yes,astral_uv,jsonschema-specifications/.github/workflows/ci.yml,Yes,"jsonschema-specifications/.pre-commit-config.yaml - ruff, black, prettier","nox, hatch",Yes,"Github Releases, Calendar Versioning (CalVer)"
pillow,https://github.com/python-pillow/Pillow,Yes,GitHub Actions,Pillow/.github/workflows                         Pillow/.ci/,setuptools,Pillow/pyproject.toml,pytest/coverage/tox,Pillow/pyproject.toml | Pillow/tox.ini,Yes,Yes,pypa/gh-action-pypi-publish,Pillow/.github/workflows/wheels.yml,Yes,"Pillow/.pre-commit-config.yaml - black, ruff",tox,No,"Github Releases, Semantic Versioning"
boto3,https://github.com/boto/boto3,Yes,Github Actions,boto3/.github/workflows,setuptools,boto3/setup.py,pytest/coverage,boto3/tox.ini,No/Check,No,-,-,Yes,boto3/pyproject.toml - ruff,tox,No,"Github Releases, Semantic Versioning"
virtualenv,https://github.com/pypa/virtualenv,Yes,GitHub Actions,virtualenv/.github/workflows,hatchling,virtualenv/pyproject.toml,pytest/coverage/tox,virtualenv/pyproject.toml | virtualenv/tox.ini,Yes,Yes,astral_uv,virtualenv/.github/workflows/release.yaml,Yes,"virtualenv/.pre-commit-config.yaml - tox, ruff",hatch,Yes,"Github Releases, Semantic Versioning"
opentelemetry-api,https://github.com/open-telemetry/opentelemetry-python,Yes,GitHub Actions,opentelemetry-python/.github/workflows,hatchling,mono_repo,pytest/tox,opentelemetry-api/pyproject.toml | opentelemetry-api/tox.ini,Yes,Yes,twine,opentelemetry-python/.github/workflows/release.yml,Yes,opentelemetry-python/pyproject.toml - ruff/pyright,tox,No,"Github Releases, Semantic Versioning"